tag	layer	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
0	0	1	0	0	501	4	2	1	5	606
1	0	6	1	1	191	4	3	0	12	735
2	0	6	7	7	1206	8	0	2	27	350
3	0	4	4	4	1563	9	1	1	24	101
4	0	5	11	11	88	6	1	6	0	567
5	0	4	11	11	393	1	0	3	4	83
6	0	3	3	3	569	6	5	2	0	365
7	0	3	8	8	1247	3	3	2	29	390
8	0	4	17	17	1402	9	0	3	2	325
9	0	6	8	8	432	9	3	7	25	660
10	0	7	4	4	285	4	4	6	25	372
11	0	3	4	4	1010	1	0	1	2	644
12	0	2	13	13	788	5	7	4	0	698
13	0	1	17	17	1312	9	1	4	27	163
14	0	7	0	0	1025	3	1	4	12	158
15	0	5	5	5	1086	0	5	7	0	116
16	0	5	9	9	118	4	1	1	31	72
17	0	2	4	4	1125	3	4	6	13	554
18	0	3	9	9	1375	9	7	7	7	255
19	0	3	2	2	43	4	3	0	4	726
20	0	0	7	7	64	9	1	3	17	687
21	0	7	6	6	270	6	3	7	0	196
22	0	1	3	3	725	5	6	7	0	691
23	0	1	1	1	1491	9	1	3	12	196
24	0	7	4	4	375	8	7	3	4	455
25	0	1	1	1	30	1	3	2	6	499
26	0	7	6	6	120	3	6	0	24	273
27	0	7	9	9	1426	6	2	3	0	224
28	0	0	18	18	124	9	0	0	30	516
29	0	2	1	1	164	3	1	1	15	415
30	0	1	18	18	1185	0	1	6	5	269
31	0	3	10	10	543	5	2	4	0	325
32	0	1	0	0	1272	1	1	3	4	137
33	0	5	2	2	756	8	2	7	19	628
34	0	0	17	17	1358	1	2	4	1	111
35	0	2	8	8	1238	4	5	3	16	519
36	0	7	8	8	189	5	4	0	0	343
37	0	2	8	8	1518	6	6	0	0	79
38	0	2	17	17	756	3	6	2	2	317
39	0	5	1	1	430	4	1	5	26	637
40	0	2	7	7	362	5	0	2	0	803
41	0	6	7	7	326	1	6	0	7	229
42	0	3	14	14	625	4	3	0	12	410
43	0	5	8	8	571	9	6	5	1	120
44	0	4	5	5	543	0	1	6	5	748
45	0	5	13	13	236	5	3	4	0	727
46	0	6	0	0	1102	4	5	6	4	682
47	0	5	10	10	1474	8	4	6	20	414
48	0	4	17	17	392	5	6	2	0	417
49	0	0	9	9	430	5	5	7	0	454
50	0	3	16	16	1507	3	1	4	21	97
51	0	3	9	9	407	3	0	0	15	488
52	0	1	14	14	1289	4	6	7	25	251
53	0	2	0	0	870	4	2	7	3	572
54	0	3	3	3	273	6	5	7	0	563
55	0	7	5	5	921	8	3	4	31	643
56	0	3	8	8	158	8	3	4	21	329
57	0	1	4	4	473	5	2	3	0	426
58	0	6	10	10	954	5	0	3	0	400
59	0	0	18	18	976	0	5	4	6	431
60	0	3	15	15	558	5	7	0	0	346
61	0	6	5	5	261	0	6	0	1	660
62	0	6	4	4	372	0	4	6	5	218
63	0	7	10	10	1558	5	4	6	0	85
64	0	7	0	0	106	9	3	1	2	774
65	0	0	7	7	41	3	3	2	30	687
66	0	1	18	18	952	8	5	2	7	798
67	0	2	9	9	1185	0	4	6	6	734
68	0	3	2	2	1414	4	1	4	7	817
69	0	0	11	11	877	9	1	5	0	432
70	0	7	3	3	741	6	2	6	0	753
71	0	4	17	17	952	5	4	5	0	90
72	0	4	14	14	1536	6	6	5	0	508
73	0	5	5	5	434	9	4	5	17	612
74	0	4	17	17	1058	4	1	3	26	502
75	0	3	15	15	917	0	1	4	3	416
76	0	3	9	9	755	6	5	6	0	362
77	0	7	8	8	514	4	1	3	20	124
78	0	2	6	6	1512	6	4	4	0	200
79	0	4	7	7	367	8	0	2	17	48
80	0	0	17	17	1428	3	7	1	0	589
81	0	4	15	15	902	9	2	0	16	491
82	0	1	2	2	1007	1	0	2	2	578
83	0	4	2	2	242	5	3	6	0	455
84	0	4	18	18	625	0	1	3	3	272
85	0	1	5	5	355	1	2	0	6	463
86	0	7	9	9	474	8	4	7	4	705
87	0	3	8	8	1354	4	6	1	14	665
88	0	2	8	8	146	0	2	4	4	451
89	0	1	14	14	1433	5	4	7	0	84
90	0	0	13	13	1236	8	0	1	14	692
