tag	layer	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
0	0	0	0	0	501	4	2	1	5	606
1	0	1	0	0	191	4	3	0	12	735
2	0	1	1	1	1206	8	0	2	27	350
3	0	1	1	1	1563	9	1	1	24	101
4	0	1	2	2	88	6	1	6	0	567
5	0	1	2	2	1442	1	0	3	4	83
6	0	0	0	0	569	6	5	2	0	365
7	0	0	2	2	1247	3	3	2	29	390
8	0	1	1	1	114	4	0	5	25	276
9	0	0	1	1	435	6	6	7	0	273
10	0	0	1	1	1529	5	6	5	0	143
11	0	1	0	0	224	3	2	6	4	396
12	0	1	3	3	1133	0	1	4	5	116
13	0	1	3	3	929	0	4	2	1	642
14	0	1	1	1	765	3	0	5	31	21
15	0	0	2	2	490	0	3	1	1	751
16	0	1	0	0	262	6	2	4	0	218
17	0	0	2	2	1375	9	7	7	7	255
18	0	0	0	0	43	4	3	0	4	726
19	0	0	1	1	64	9	1	3	17	687
20	0	1	1	1	1481	6	3	7	0	196
21	0	0	0	0	725	5	6	7	0	691
22	0	0	0	0	1491	9	1	3	12	196
23	0	1	1	1	375	8	7	3	4	455
24	0	0	0	0	191	4	2	6	31	494
25	0	0	3	3	337	5	0	6	0	804
26	0	1	2	2	1426	6	2	3	0	224
27	0	0	0	0	117	0	7	2	0	522
28	0	0	1	1	1218	1	3	6	1	585
29	0	0	0	0	858	9	4	3	20	246
30	0	1	3	3	1375	8	7	5	4	11
31	0	1	0	0	1101	4	4	2	22	72
32	0	0	2	2	323	6	4	0	0	681
33	0	0	1	1	236	1	2	4	4	621
34	0	0	2	2	1407	8	7	4	3	96
35	0	1	2	2	7	9	2	4	10	761
36	0	1	3	3	229	1	2	0	5	598
37	0	0	3	3	85	8	5	0	22	217
38	0	0	0	0	1146	5	2	3	0	821
39	0	0	3	3	367	9	6	3	17	165
40	0	0	3	3	963	4	3	7	22	314
41	0	0	1	1	1351	4	6	5	17	73
42	0	1	2	2	1391	9	0	1	16	184
43	0	1	0	0	1221	5	5	5	0	622
44	0	0	3	3	521	0	6	0	3	374
45	0	1	0	0	1276	9	1	4	19	684
46	0	1	2	2	1427	8	2	3	26	682
47	0	1	1	1	831	0	4	4	3	442
48	0	1	3	3	905	4	7	2	5	292
49	0	1	0	0	1377	8	3	3	9	27
50	0	0	1	1	1251	1	7	6	3	737
51	0	1	3	3	499	3	0	1	27	226
52	0	0	3	3	1141	4	1	7	8	822
53	0	1	2	2	1254	5	7	2	0	462
54	0	1	1	1	1067	6	3	4	0	81
55	0	1	1	1	687	9	1	2	9	238
56	0	1	1	1	131	5	6	5	0	427
57	0	0	1	1	797	0	6	7	0	362
58	0	1	3	3	1102	4	7	3	17	448
59	0	1	0	0	688	5	2	7	0	639
60	0	0	3	3	171	5	2	7	0	53
61	0	1	3	3	433	6	5	5	0	286
62	0	1	2	2	963	0	0	5	3	667
63	0	0	0	0	506	4	0	2	15	131
64	0	1	0	0	952	8	5	2	7	798
65	0	0	2	2	1185	0	4	6	6	734
66	0	0	0	0	208	8	1	0	22	547
67	0	1	2	2	1036	9	0	6	31	110
68	0	1	2	2	1448	3	6	2	17	632
69	0	1	3	3	1497	8	5	3	5	287
70	0	1	1	1	1167	5	5	0	0	334
71	0	0	3	3	726	8	5	4	17	571
72	0	0	1	1	494	5	7	3	0	663
73	0	1	3	3	190	8	3	6	15	315
74	0	1	3	3	871	9	5	7	17	315
75	0	1	1	1	1477	4	5	1	11	198
76	0	0	3	3	1483	8	1	3	18	234
77	0	1	1	1	28	3	4	0	3	568
78	0	1	1	1	210	0	4	7	7	453
79	0	1	1	1	517	6	1	1	0	505
80	0	0	0	0	305	8	1	3	7	573
81	0	1	1	1	922	6	4	6	0	584
82	0	0	0	0	1281	4	4	1	10	247
83	0	0	0	0	5	5	7	7	0	35
84	0	0	2	2	1439	6	1	3	0	808
85	0	0	3	3	1115	4	2	4	9	75
86	0	0	1	1	1218	8	7	1	29	707
87	0	1	3	3	1024	6	7	1	0	444
88	0	1	2	2	187	4	0	4	2	783
89	0	0	3	3	569	3	6	7	5	483
90	0	1	3	3	657	1	2	5	6	712
91	0	1	2	2	1557	0	7	1	5	260
92	0	1	0	0	1053	0	7	6	0	194
93	0	1	3	3	1556	0	3	4	2	296
94	0	1	3	3	59	4	2	4	0	567
95	0	1	0	0	232	6	1	2	0	735
96	0	1	2	2	988	6	3	7	0	394
97	0	0	1	1	565	5	5	4	0	291
98	0	1	3	3	914	6	5	5	0	468
99	0	1	1	1	1171	5	3	6	0	327
100	0	1	3	3	1359	3	7	0	8	516
101	0	1	0	0	204	6	0	2	0	672
102	0	0	0	0	542	9	6	1	21	692
103	0	1	2	2	1108	0	1	3	4	234
104	0	0	3	3	1557	1	7	2	4	31
105	0	0	2	2	600	9	5	6	9	252
106	0	1	1	1	358	1	6	3	7	599
107	0	0	1	1	1306	8	7	4	0	478
108	0	1	1	1	904	9	4	6	16	469
109	0	1	1	1	989	1	3	6	5	590
110	0	1	2	2	1348	5	4	0	0	622
111	0	1	2	2	1243	9	3	3	16	696
112	0	0	0	0	632	6	0	5	0	94
113	0	1	2	2	359	4	2	5	17	170
114	0	1	3	3	1528	9	1	7	4	146
115	0	0	3	3	184	5	0	4	0	467
116	0	1	2	2	1307	9	1	3	30	27
117	0	1	1	1	1301	6	4	6	0	145
118	0	0	0	0	1008	1	1	3	2	399
119	0	1	2	2	1202	3	6	1	31	632
120	0	1	2	2	1413	9	3	7	28	243
121	0	1	0	0	1115	9	0	6	17	196
122	0	0	3	3	1357	4	0	0	21	251
123	0	0	1	1	1567	4	3	3	21	794
124	0	0	0	0	296	3	4	2	7	678
125	0	0	1	1	733	4	5	0	11	273
126	0	0	1	1	1077	1	1	7	7	798
127	0	1	0	0	1031	4	0	4	29	660
128	0	0	0	0	822	5	1	7	0	77
129	0	0	2	2	134	3	4	5	24	613
130	0	1	3	3	203	1	3	6	7	235
131	0	1	2	2	816	5	1	5	0	322
132	0	1	2	2	1406	6	1	1	0	97
133	0	1	0	0	266	0	5	1	6	364
134	0	1	0	0	1229	8	5	1	13	160
135	0	1	1	1	717	9	1	4	14	441
136	0	0	2	2	369	8	4	5	22	8
137	0	0	1	1	142	3	0	1	13	387
138	0	1	3	3	322	9	4	5	5	55
139	0	0	1	1	1380	1	4	7	6	499
140	0	1	3	3	441	1	5	6	1	292
141	0	1	2	2	451	5	0	0	0	310
142	0	0	1	1	592	9	1	0	31	766
143	0	1	1	1	778	4	5	1	25	761
144	0	0	3	3	941	1	5	6	6	728
145	0	1	2	2	829	0	5	2	7	708
146	0	1	0	0	216	4	6	6	5	407
147	0	1	2	2	682	3	1	1	12	796
148	0	1	2	2	483	1	2	4	3	179
149	0	0	0	0	1286	6	7	7	0	644
150	0	1	1	1	139	6	7	4	0	607
151	0	0	2	2	635	6	7	0	0	379
152	0	1	0	0	1259	5	7	0	0	587
153	0	0	2	2	1026	3	0	7	6	353
154	0	0	1	1	507	6	7	2	0	383
155	0	1	3	3	692	0	5	1	5	98
156	0	1	2	2	1482	3	5	1	9	360
157	0	1	3	3	1218	1	4	6	5	132
158	0	0	3	3	37	9	4	2	13	351
159	0	1	1	1	281	3	1	4	6	521
160	0	0	2	2	1223	5	2	2	0	711
161	0	0	3	3	841	9	3	7	18	772
162	0	1	1	1	633	6	3	5	0	474
163	0	1	3	3	331	4	2	4	3	658
164	0	1	2	2	1456	1	4	1	2	281
165	0	1	1	1	187	4	7	5	1	426
166	0	0	3	3	482	5	1	5	0	30
167	0	1	0	0	299	3	0	4	30	714
168	0	0	3	3	1260	0	1	0	4	222
169	0	0	3	3	590	4	4	1	3	246
170	0	1	3	3	227	6	0	3	0	300
171	0	1	0	0	492	5	2	1	0	71
172	0	0	3	3	89	5	5	4	0	367
173	0	0	2	2	1501	1	5	2	0	362
174	0	1	1	1	1424	6	2	2	0	735
175	0	1	0	0	412	0	3	0	5	319
176	0	1	3	3	74	4	4	5	3	673
177	0	1	2	2	753	5	6	7	0	349
178	0	0	3	3	752	8	1	6	5	442
179	0	0	2	2	210	1	5	4	4	458
180	0	1	1	1	719	6	0	5	0	283
181	0	0	0	0	744	3	0	2	28	37
182	0	0	0	0	1321	9	5	6	2	621
183	0	0	3	3	761	6	1	2	0	409
184	0	1	2	2	232	0	2	7	6	577
185	0	0	2	2	1441	6	3	4	0	206
186	0	0	1	1	925	3	7	1	20	685
187	0	1	0	0	614	3	2	5	14	126
188	0	0	1	1	1011	0	5	5	7	824
189	0	0	0	0	633	5	7	6	0	590
190	0	0	1	1	1315	1	7	7	5	133
191	0	0	1	1	1029	0	1	2	4	170
192	0	0	2	2	708	8	1	4	12	652
193	0	1	1	1	1258	1	2	2	2	676
194	0	1	0	0	166	0	4	3	6	634
195	0	0	3	3	1314	8	7	3	25	306
196	0	1	0	0	323	6	6	7	0	210
197	0	1	1	1	1471	9	5	6	8	780
198	0	1	0	0	495	6	1	4	0	255
199	0	0	0	0	594	5	6	3	0	337
200	0	1	1	1	1020	6	7	4	0	25
201	0	0	3	3	493	4	5	0	3	290
202	0	1	3	3	1099	0	1	6	2	272
203	0	1	3	3	92	5	0	3	0	568
204	0	1	0	0	1032	6	4	1	0	101
205	0	1	2	2	1142	9	2	3	25	514
206	0	0	0	0	280	9	7	7	9	622
207	0	0	2	2	332	5	4	5	0	727
208	0	1	3	3	754	9	1	6	19	817
209	0	0	3	3	1342	4	0	7	10	538
210	0	1	1	1	64	1	3	0	7	323
211	0	1	1	1	1414	4	6	7	3	724
212	0	0	1	1	1356	6	6	5	0	472
213	0	1	2	2	1249	6	3	3	0	573
214	0	1	1	1	591	4	7	5	30	359
215	0	1	2	2	1174	5	6	5	0	299
216	0	0	2	2	709	6	4	7	0	208
217	0	1	2	2	223	4	3	0	14	655
218	0	0	0	0	846	9	7	1	8	7
219	0	0	3	3	977	4	4	5	18	663
220	0	0	0	0	1095	0	2	6	2	39
221	0	1	3	3	1533	8	0	0	19	583
222	0	0	2	2	930	6	2	7	0	199
223	0	0	2	2	1497	6	4	2	0	756
