tag	layer	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
0	0	1	0	0	829	0	4	4	3	210
1	0	0	0	0	563	4	2	3	27	608
2	0	0	2	2	340	4	6	2	23	766
3	0	1	2	2	1289	0	7	3	2	653
4	0	2	2	2	139	1	2	2	0	114
5	0	0	1	1	120	4	5	0	5	585
6	0	1	1	1	394	1	7	3	3	789
7	0	0	2	2	676	1	3	7	1	383
8	0	2	1	1	383	0	4	4	3	199
9	0	1	1	1	1105	4	2	7	27	313
10	0	1	3	3	821	4	7	4	1	213
11	0	2	0	0	77	1	6	4	5	292
12	0	0	1	1	398	0	0	7	4	230
13	0	2	0	0	661	4	2	5	14	634
14	0	0	2	2	1228	0	1	2	6	444
15	0	1	0	0	121	4	7	7	6	295
16	0	2	2	2	481	0	5	6	5	331
17	0	0	3	3	268	1	0	1	4	631
18	0	2	1	1	1429	1	3	3	7	741
19	0	0	0	0	624	1	2	4	2	809
20	0	1	3	3	156	4	5	2	30	794
21	0	0	0	0	1043	0	6	4	4	15
22	0	0	0	0	188	0	3	4	6	419
23	0	2	3	3	1303	1	3	1	5	522
24	0	0	1	1	1009	1	3	3	2	820
25	0	1	1	1	1518	1	1	6	6	754
26	0	0	1	1	65	0	4	7	2	721
27	0	0	3	3	1328	1	7	0	0	162
28	0	0	2	2	1194	1	7	0	4	615
29	0	0	2	2	1517	0	7	5	1	31
30	0	2	0	0	1090	1	4	0	1	63
31	0	2	1	1	1153	1	0	3	6	141
32	0	0	1	1	907	4	7	0	6	375
33	0	1	2	2	477	4	7	1	25	301
34	0	1	3	3	932	0	0	5	4	763
35	0	2	1	1	97	1	6	2	5	127
36	0	1	1	1	338	1	6	3	5	436
37	0	0	1	1	397	1	4	1	1	462
38	0	1	2	2	562	4	4	1	1	443
39	0	1	0	0	210	0	6	2	2	620
40	0	1	1	1	1011	1	1	5	2	370
41	0	0	2	2	1274	4	0	4	26	44
42	0	1	2	2	1330	4	2	4	16	425
43	0	2	0	0	1448	1	4	3	5	665
44	0	0	3	3	503	0	5	0	3	522
45	0	0	3	3	213	4	0	3	13	816
46	0	0	2	2	490	1	5	5	4	784
47	0	0	1	1	836	4	3	6	14	621
48	0	1	0	0	599	0	1	6	0	704
